animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
20063,Eubalaena glacialis,MAMIFEROS,CETACEA,Balaenidae,Ballena vasca,En peligro de extincion
24217,Physeter macrocephalus,MAMIFEROS,CETACEA,Physeteridae,Cachalote,Vulnerable
32179,Delphinus delphis,MAMIFEROS,CETACEA,Delphinidae,Delfin comun,Vulnerable
20073,Globicephala macrorhynchus,MAMIFEROS,CETACEA,Delphinidae,Calderon tropical,Vulnerable
32180,Globicephala melas,MAMIFEROS,CETACEA,Delphinidae,Calderon comun,LESRPE
20075,Grampus griseus,MAMIFEROS,CETACEA,Delphinidae,Calderon gris,LESRPE
20076,Lagenodelphis hosei,MAMIFEROS,CETACEA,Delphinidae,Delfin de Fraser,LESRPE
20079,Orcinus orca,MAMIFEROS,CETACEA,Delphinidae,Orca,Vulnerable
20080,Pseudorca crassidens,MAMIFEROS,CETACEA,Delphinidae,Falsa orca,LESRPE
20082,Stenella coeruleoalba,MAMIFEROS,CETACEA,Delphinidae,Delfin listado,LESRPE
20083,Stenella frontalis,MAMIFEROS,CETACEA,Delphinidae,Delfin moteado del Atlantico,LESRPE
20085,Steno bredanensis,MAMIFEROS,CETACEA,Delphinidae,Delfin de dientes rugosos,LESRPE
20087,Tursiops truncatus ,MAMIFEROS,CETACEA,Delphinidae,Delfin mular,Vulnerable
32181,Phocoena phocoena  ,MAMIFEROS,CETACEA,Phocoenidae,Marsopa comun,En peligro de extincion
20093,Hyperoodon ampullatus,MAMIFEROS,CETACEA,Hyperoodontidae,Zifio calderon septentrional,LESRPE
20095,Mesoplodon densirostris,MAMIFEROS,CETACEA,Hyperoodontidae,Zifio de Blainville,LESRPE
20096,Mesoplodon europaeus,MAMIFEROS,CETACEA,Hyperoodontidae,Zifio de Gervais,LESRPE
20098,Mesoplodon mirus,MAMIFEROS,CETACEA,Hyperoodontidae,Zifio de True,LESRPE
20099,Ziphius cavirostris,MAMIFEROS,CETACEA,Hyperoodontidae,"Zifio de Cuvier, Zifio comun",Vulnerable
