animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
16302,Hieraaetus fasciatus  ,AVES,FALCONIFORMES,Accipitridae,Aguila perdicera,Vulnerable
11959,Hieraaetus pennatus,AVES,FALCONIFORMES,Accipitridae,Aguila calzada,LESRPE
11735,Milvus migrans,AVES,FALCONIFORMES,Accipitridae,Milano negro,LESRPE
11737,Milvus milvus ,AVES,FALCONIFORMES,Accipitridae,Milano real,En peligro de extincion
11961,Neophron percnopterus  ,AVES,FALCONIFORMES,Accipitridae,Alimoche comun,Vulnerable
23776,Neophron percnopterus majorensis,AVES,FALCONIFORMES,Accipitridae,Alimoche canario,En peligro de extincion
10739,Pernis apivorus,AVES,FALCONIFORMES,Accipitridae,Halcon abejero,LESRPE
11059,Falco columbarius,AVES,FALCONIFORMES,Falconidae,Esmerejon,LESRPE
11198,Falco eleonorae,AVES,FALCONIFORMES,Falconidae,Halcon de Eleonora,LESRPE
11817,Falco naumanni,AVES,FALCONIFORMES,Falconidae,Cernicalo primilla,LESRPE
32346,Falco peregrinus pelegrinoides,AVES,FALCONIFORMES,Falconidae,Halcon tagarote,En peligro de extincion
11963,Falco peregrinus,AVES,FALCONIFORMES,Falconidae,Halcon peregrino,LESRPE
12262,Falco subbuteo,AVES,FALCONIFORMES,Falconidae,Alcotan europeo,LESRPE
12321,Falco tinnunculus,AVES,FALCONIFORMES,Falconidae,Cernicalo comun,LESRPE
16303,Falco vespertinus,AVES,FALCONIFORMES,Falconidae,Cernicalo patirrojo,LESRPE
24333,Perdix perdix hispaniensis,AVES,GALLIFORMES,Phasianidae,Perdiz pardilla,En peligro de extincion
16275,Bonasa bonasia ,AVES,GALLIFORMES,Phasianidae,Grevol,LESRPE
11800,Lagopus muta,AVES,GALLIFORMES,Phasianidae,Lagopodo alpino,Vulnerable
12372,Tetrao urogallus aquitanicus,AVES,GALLIFORMES,Phasianidae,Urogallo pirenaico,En peligro de extincion
12372,Tetrao urogallus cantabricus,AVES,GALLIFORMES,Phasianidae,Urogallo cantabrico,En peligro de extincion
16315,Grus grus,AVES,GRUIFORMES,Gruidae,Grulla comun,LESRPE
16310,Crex crex,AVES,GRUIFORMES,Rallidae,Guion de codornices,LESRPE
11101,Fulica cristata,AVES,GRUIFORMES,Rallidae, Focha cornuda o moruna,En peligro de extincion
12013,Porphyrio porphyrio,AVES,GRUIFORMES,Rallidae,Calamon comun,LESRPE
33069,Porzana parva,AVES,GRUIFORMES,Rallidae,Polluela bastarda,LESRPE
12014,Porzana porzana,AVES,GRUIFORMES,Rallidae,Polluela pintoja,LESRPE
33067,Porzana pusilla,AVES,GRUIFORMES,Rallidae,Polluela chica,LESRPE
12363,Chlamydotis undulata ,AVES,GRUIFORMES,Otididae,Avutarda hubara,En peligro de extincion
12292,Otis tarda,AVES,GRUIFORMES,Otididae,Avutarda comun,LESRPE
12312,Tetrax tetrax,AVES,GRUIFORMES,Otididae,Sison comun,En peligro de extincion
11917,Haematopus ostralegus,AVES,CHARADRIIFORMES,Haematopodidae,Ostrero euroasiatico,LESRPE
11446,Himantopus himantopus,AVES,CHARADRIIFORMES,Recurvirostridae,Ciguenuela comun,LESRPE
10801,Recurvirostra avosetta,AVES,CHARADRIIFORMES,Recurvirostridae,Avoceta comun,LESRPE
11889,Burhinus oedicnemus distinctus,AVES,CHARADRIIFORMES,Burhinidae,Alcaravan comun,Vulnerable
28443,Burhinus oedicnemus oedicnemus/insularum,AVES,CHARADRIIFORMES,Burhinidae,"Alcaravan comun, Alcaravan majorero",LESRPE
11113,Cursorius cursor,AVES,CHARADRIIFORMES,Glareolidae,Engana,Vulnerable
12021,Glareola pratincola,AVES,CHARADRIIFORMES,Glareolidae,Canastera comun,LESRPE
10664,Charadrius alexandrinus,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo patinegro,Vulnerable
11179,Charadrius dubius,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo chico,LESRPE
11442,Charadrius hiaticula,AVES,CHARADRIIFORMES,Charadriidae,Chorlitejo grande,LESRPE
11787,Charadrius (Eudromias) morinellus ,AVES,CHARADRIIFORMES,Charadriidae,Chorlito carambolo,Vulnerable
10741,Pluvialis apricaria,AVES,CHARADRIIFORMES,Charadriidae,Chorlito dorado europeo,LESRPE
12240,Pluvialis squatarola   ,AVES,CHARADRIIFORMES,Charadriidae,Chorlito gris,LESRPE
11484,Actitis hypoleucos  ,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios chico,LESRPE
11519,Arenaria interpres,AVES,CHARADRIIFORMES,Scolopacidae,Vuelvepiedras comun,LESRPE
10649,Calidris alba,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos tridactilo,LESRPE
10678,Calidris alpina,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos comun ,LESRPE
10957,Calidris canutus,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos gordo,LESRPE
11262,Calidris ferruginea,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos zarapitin,LESRPE
16339,Calidris maritima,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos oscuro,LESRPE
11745,Calidris minuta,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos menudo,LESRPE
16333,Calidris temminckii,AVES,CHARADRIIFORMES,Scolopacidae,Correlimos de Temminck,LESRPE
11564,Limosa lapponica,AVES,CHARADRIIFORMES,Scolopacidae,Aguja colipinta,LESRPE
11600,Limosa limosa,AVES,CHARADRIIFORMES,Scolopacidae,Aguja colinegra,LESRPE
10763,Numenius arquata,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito real,En peligro de extincion
11974,Numenius phaeopus  ,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito trinador,LESRPE
16347,Numenius tenuirostris ,AVES,CHARADRIIFORMES,Scolopacidae,Zarapito fino,LESRPE
14040,Phalaropus fulicarius,AVES,CHARADRIIFORMES,Scolopacidae,Faloropo picogrueso,LESRPE
14039,Phalaropus lobatus,AVES,CHARADRIIFORMES,Scolopacidae,Faloropo picofino,LESRPE
33046,Philomachus pugnax,AVES,CHARADRIIFORMES,Scolopacidae,Combatiente,LESRPE
11219,Tringa erythropus   ,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe oscuro,LESRPE
11370,Tringa glareola,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios bastardo,LESRPE
11825,Tringa nebularia  ,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe claro,LESRPE
11885,Tringa ochropus,AVES,CHARADRIIFORMES,Scolopacidae,Andarrios grande,LESRPE
12241,Tringa stagnatilis,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe fino,LESRPE
